qtd_filhos;idade;tempo_emprego;qt_pessoas_residencia;renda
1;36;3.5753424657534247;3.0;3369.24
0;42;0.8602739726027397;2.0;6096.14
2;31;8.065753424657535;4.0;5658.98
0;50;1.2082191780821918;2.0;7246.69
0;52;13.873972602739729;2.0;4017.37
0;46;15.561643835616438;2.0;5483.58
0;51;5.046575342465753;2.0;1947.99
0;24;1.5917808219178082;2.0;7781.51
0;53;3.4301369863013704;2.0;5577.82
2;34;7.219178082191781;4.0;803.34
0;35;5.638356164383563;2.0;3109.79
1;31;4.479452054794519;3.0;2779.67
2;60;;4.0;5114.7
0;50;16.528767123287672;2.0;4640.47
0;46;7.934246575342466;1.0;1055.14
1;42;5.542465753424659;2.0;1728.33
1;41;5.358904109589041;3.0;1934.8
1;44;6.934246575342466;2.0;3939.28
0;33;4.008219178082192;2.0;4787.86
0;64;;2.0;4501.53
0;53;10.635616438356164;1.0;1772.14
0;28;2.682191780821918;2.0;2053.45
1;37;14.95890410958904;3.0;44277.19
0;55;1.5205479452054795;2.0;24664.37
0;27;1.7616438356164383;2.0;6165.13
0;47;2.432876712328768;2.0;3104.42
1;56;;3.0;2053.04
0;65;;2.0;6714.39
1;30;3.4876712328767123;2.0;630.3
0;50;19.967123287671228;2.0;3819.53
0;64;;2.0;1350.5
0;34;7.178082191780822;2.0;2156.77
1;29;0.3479452054794521;3.0;1105.6
0;30;9.553424657534247;1.0;6505.75
0;53;18.389041095890416;1.0;7212.4
1;31;2.2109589041095887;3.0;3644.16
3;41;0.3342465753424657;5.0;1268.44
0;40;12.849315068493151;2.0;10271.6
0;48;4.682191780821919;2.0;1128.43
2;32;1.991780821917808;4.0;2918.69
1;36;1.0767123287671232;3.0;2274.63
0;27;2.263013698630137;1.0;2662.93
0;42;8.860273972602737;1.0;2018.26
0;53;4.7972602739726025;2.0;1577.59
0;61;1.547945205479452;2.0;3100.05
0;48;1.0328767123287672;1.0;3876.0
0;61;;2.0;4055.24
0;28;3.512328767123288;1.0;10974.1
0;50;5.06027397260274;2.0;7250.98
1;43;10.93972602739726;2.0;3602.46
0;35;3.7589041095890408;2.0;736.0
1;37;5.156164383561643;3.0;2832.19
7;37;4.5178082191780815;9.0;816.33
0;52;32.74246575342466;1.0;7771.51
1;38;6.586301369863015;3.0;4871.0
0;36;7.249315068493152;2.0;1951.74
0;44;13.435616438356163;2.0;2200.44
1;56;;3.0;4774.44
1;41;18.81095890410959;3.0;6760.49
0;59;;1.0;3175.63
0;43;8.312328767123287;2.0;2452.65
0;38;6.273972602739726;2.0;5838.45
0;51;25.54794520547945;2.0;19324.31
0;39;0.3808219178082192;2.0;2757.73
1;26;1.6219178082191783;3.0;751.6
0;66;14.194520547945206;2.0;10498.24
0;49;6.890410958904107;2.0;881.86
0;30;5.216438356164384;2.0;1252.91
1;42;7.298630136986303;3.0;1821.38
1;29;6.802739726027397;3.0;2655.25
0;64;;2.0;2742.43
0;58;1.5808219178082192;2.0;3001.75
0;46;2.249315068493151;2.0;867.17
0;38;10.427397260273972;2.0;5373.72
0;54;2.2602739726027403;2.0;1892.76
1;35;5.2904109589041095;3.0;3021.56
2;29;5.958904109589041;4.0;1479.44
0;38;14.591780821917803;1.0;3765.38
0;61;;1.0;3922.21
0;32;2.4465753424657533;2.0;1719.8
1;38;6.068493150684931;3.0;681.39
2;43;20.18904109589041;4.0;9033.51
0;61;40.57534246575342;2.0;33568.12
0;58;;2.0;1738.95
0;28;2.180821917808219;1.0;3252.86
0;32;8.471232876712326;2.0;4074.25
0;46;8.038356164383561;2.0;2403.49
0;63;5.846575342465752;1.0;3985.32
0;39;4.345205479452055;2.0;1902.91
0;51;4.0547945205479445;2.0;1524.54
0;41;13.194520547945206;2.0;3420.8
0;45;7.7315068493150685;2.0;4720.32
0;57;;2.0;1748.63
1;34;3.6986301369863015;2.0;993.8
0;60;;2.0;3810.44
2;45;26.698630136986303;4.0;10504.54
0;52;10.03013698630137;2.0;2482.82
0;27;5.282191780821917;1.0;4211.84
0;52;14.054794520547944;2.0;4305.69
0;29;8.443835616438356;2.0;824.6
